freq,tra_type,c_unload,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,AM,GT18,THS_T,CZ	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT18,THS_T,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AM,TOTAL,THS_T,BG	: 	: 	: 	: u	: 	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,HIRE,AM,TOTAL,THS_T,CZ	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 
A,HIRE,AM,TOTAL,THS_T,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AM,TOTAL,THS_T,EL	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,TOTAL,THS_T,LT	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,TOTAL,THS_T,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AM,TOTAL,THS_T,PL	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,TOTAL,THS_T,SI	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 
A,HIRE,AT,GT01,THS_T,AT	: u	: u	: 	: u	: u	: 	: u	: u	: u	3 	22 	: u	: u	: u	: 
A,HIRE,AT,GT01,THS_T,BE	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u	: 	: 	: u	: u
A,HIRE,AT,GT01,THS_T,BG	: u	: 	: 	: 	: 	: u	: 	: u	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AT,GT01,THS_T,CH	: u	: u	: 	: u	: u	: 	: u	: 	: 	: 	: 	: u	: 	: u	: u
A,HIRE,AT,GT01,THS_T,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,AT,GT01,THS_T,CZ	99 	297 	336 	523 	743 	739 	1018 	964 	1298 	1032 	800 	1090 	1262 	1037 	743 
A,HIRE,AT,GT01,THS_T,DE	512 	537 	545 	546 	482 	539 	662 	816 	506 	632 	808 	516 	758 	680 	746 
A,HIRE,AT,GT01,THS_T,DK	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AT,GT01,THS_T,EE	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,HIRE,AT,GT01,THS_T,EL	: u	: 	: u	: 	: 	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
A,HIRE,AT,GT01,THS_T,ES	148 	: u	: u	: u	99 	: u	100 	: u	113 	99 	77 	136 	102 	: u	33 
A,HIRE,AT,GT01,THS_T,FR	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,HIRE,AT,GT01,THS_T,HR	: u	: u	: u	: u	: u	: u	: u	66 	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT01,THS_T,HU	170 	251 	273 	377 	539 	522 	399 	307 	412 	752 	790 	698 	500 	496 	587 
A,HIRE,AT,GT01,THS_T,IT	: u	: u	: u	: u	: u	271 	: u	167 	112 	37 	69 	: u	: u	: u	197 
A,HIRE,AT,GT01,THS_T,LT	: u	: 	: 	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u	: 	: u
A,HIRE,AT,GT01,THS_T,NL	28 	51 	14 	45 	30 	46 	: u	9 	14 	12 	: u	: u	: u	17 	21 
A,HIRE,AT,GT01,THS_T,NO	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT01,THS_T,PL	: u	: u	: u	: 	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT01,THS_T,RO	: u	: 	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT01,THS_T,SE	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT01,THS_T,SI	126 	207 	245 	236 	307 	495 	455 	328 	1113 	637 	783 	694 	744 	528 	427 
A,HIRE,AT,GT01,THS_T,SK	146 	288 	490 	376 	349 	390 	380 	436 	460 	535 	536 	521 	483 	549 	498 
A,HIRE,AT,GT01,THS_T,UK	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT02,THS_T,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	: 
A,HIRE,AT,GT02,THS_T,BE	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT02,THS_T,CZ	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: u	: 	: 
A,HIRE,AT,GT02,THS_T,DE	: u	93 	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: 
A,HIRE,AT,GT02,THS_T,HU	: u	: 	: 	: u	: 	: u	: u	: u	: 	: u	: u	: 	: u	: 	: u
A,HIRE,AT,GT02,THS_T,IT	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AT,GT02,THS_T,LI	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT02,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT02,THS_T,PL	: u	: u	: u	: u	: 	: u	: 	: u	: u	: 	: u	: u	: u	: 	: u
A,HIRE,AT,GT02,THS_T,SI	: 	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: 	: u
A,HIRE,AT,GT02,THS_T,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,AT,GT03,THS_T,AT	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: 	: u	: 
A,HIRE,AT,GT03,THS_T,BE	: 	: u	: 	: u	: 	: u	: 	: u	: u	: u	: u	: u	: 	: 	: u
A,HIRE,AT,GT03,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AT,GT03,THS_T,CH	: 	: 	: u	: u	: 	: 	: 	: u	: u	: u	: 	: u	: 	: u	140 
A,HIRE,AT,GT03,THS_T,CZ	206 	126 	135 	99 	224 	281 	195 	162 	306 	146 	301 	: u	99 	141 	124 
A,HIRE,AT,GT03,THS_T,DE	270 	210 	263 	501 	426 	307 	493 	407 	604 	278 	270 	277 	544 	337 	722 
A,HIRE,AT,GT03,THS_T,EE	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,AT,GT03,THS_T,EL	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT03,THS_T,FR	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT03,THS_T,HR	: u	: u	: u	: u	: u	: u	: u	70 	39 	19 	: u	: 	: u	: u	: u
A,HIRE,AT,GT03,THS_T,HU	114 	261 	322 	553 	898 	397 	346 	375 	257 	157 	55 	97 	235 	160 	277 
A,HIRE,AT,GT03,THS_T,IT	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	217 	: u	111 
A,HIRE,AT,GT03,THS_T,LI	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT03,THS_T,LT	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: 	: 	: 
A,HIRE,AT,GT03,THS_T,LU	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AT,GT03,THS_T,LV	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: 	: u
A,HIRE,AT,GT03,THS_T,NL	: 	: 	: 	: 	: 	: u	: u	: u	: 	: u	: 	: 	: 	: u	: 
A,HIRE,AT,GT03,THS_T,PL	: u	: 	: u	: 	: u	: u	: 	: u	: 	: 	: u	: u	: u	: 	: u
A,HIRE,AT,GT03,THS_T,PT	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 	: 	: u
