freq,tra_type,c_load,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,AT,GT04,THS_T,PT	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u	: 	: u	: u
A,HIRE,AT,GT04,THS_T,RO	: u	: u	: u	: u	29 	31 	32 	53 	44 	64 	34 	: u	27 	43 	85 
A,HIRE,AT,GT04,THS_T,SE	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AT,GT04,THS_T,SI	94 	65 	105 	120 	134 	137 	92 	93 	111 	149 	145 	195 	228 	219 	187 
A,HIRE,AT,GT04,THS_T,SK	94 	: u	75 	: u	: u	: u	: u	: u	: u	126 	: u	85 	121 	83 	157 
A,HIRE,AT,GT04,THS_T,UK	: 	: u	: 	: u	: u	: u	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,HIRE,AT,GT05,THS_T,BG	: 	: 	: u	: 	: 	: 	: u	: 	: u	: 	: 	: 	: u	: u	: 
A,HIRE,AT,GT05,THS_T,CH	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 
A,HIRE,AT,GT05,THS_T,CZ	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT05,THS_T,DE	19 	48 	54 	50 	26 	65 	41 	41 	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT05,THS_T,EL	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,AT,GT05,THS_T,ES	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT05,THS_T,FR	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT05,THS_T,HR	: u	: u	: u	19 	16 	10 	12 	26 	16 	: u	25 	: u	: u	11 	: u
A,HIRE,AT,GT05,THS_T,HU	8 	14 	: u	10 	11 	7 	16 	13 	49 	27 	22 	37 	: u	16 	: u
A,HIRE,AT,GT05,THS_T,IT	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: u	: 	: 	: 
A,HIRE,AT,GT05,THS_T,LT	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AT,GT05,THS_T,NL	: u	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT05,THS_T,PL	: u	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: 
A,HIRE,AT,GT05,THS_T,PT	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: u	: 	: 	: 
A,HIRE,AT,GT05,THS_T,RO	: u	36 	: u	: u	: u	: u	: u	: 	: u	: 	: u	: u	: u	: u	: 
A,HIRE,AT,GT05,THS_T,SI	: u	10 	11 	: u	: u	: u	: u	10 	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT05,THS_T,SK	: u	: u	: u	: u	: u	47 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT05,THS_T,UK	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT06,THS_T,AT	: u	: 	: u	: 	: u	: 	: u	: u	: 	: u	: 	: 	: 	: u	: 
A,HIRE,AT,GT06,THS_T,BE	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: 	: u	: 	: u	: 
A,HIRE,AT,GT06,THS_T,BG	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,HIRE,AT,GT06,THS_T,CH	: u	: u	: u	: u	: u	125 	: u	: 	: u	: u	: u	: 	: 	: u	: u
A,HIRE,AT,GT06,THS_T,CZ	287 	147 	273 	218 	315 	372 	281 	327 	167 	154 	219 	113 	226 	152 	152 
A,HIRE,AT,GT06,THS_T,DE	622 	478 	528 	444 	454 	338 	388 	358 	403 	357 	239 	282 	249 	286 	222 
A,HIRE,AT,GT06,THS_T,DK	: u	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT06,THS_T,EE	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u
